directory,sample,total_events,valid_events
,NMSSM_X650_Y200.parquet,5840,5840
,NMSSM_X650_Y300.parquet,461,461
,NMSSM_X650_Y400.parquet,2671,2671
,NMSSM_X650_Y500.parquet,6839,6839
,NMSSM_X650_Y90.parquet,3120,3120
,NMSSM_X650_Y95.parquet,7239,7239
,NMSSM_X700_Y100.parquet,8880,8880
,NMSSM_X700_Y125.parquet,7460,7460
,NMSSM_X700_Y150.parquet,6010,6010
,NMSSM_X700_Y200.parquet,7271,7271
,NMSSM_X700_Y300.parquet,7059,7059
,NMSSM_X700_Y400.parquet,8966,8966
,NMSSM_X700_Y500.parquet,3682,3682
,NMSSM_X700_Y90.parquet,15821,15821
,NMSSM_X700_Y95.parquet,1835,1835
,NMSSM_X800_Y100.parquet,9253,9253
,NMSSM_X800_Y125.parquet,4889,4889
,NMSSM_X800_Y150.parquet,6385,6385
,NMSSM_X800_Y200.parquet,19392,19392
,NMSSM_X800_Y300.parquet,8944,8944
,NMSSM_X800_Y400.parquet,12617,12617
,NMSSM_X800_Y500.parquet,4165,4165
,NMSSM_X800_Y600.parquet,1546,1546
,NMSSM_X900_Y100.parquet,1465,1465
,NMSSM_X900_Y125.parquet,16467,16467
,NMSSM_X900_Y150.parquet,510,510
,NMSSM_X900_Y200.parquet,18618,18618
,NMSSM_X900_Y300.parquet,6388,6388
,NMSSM_X900_Y400.parquet,473,473
,NMSSM_X900_Y500.parquet,447,447
,NMSSM_X900_Y600.parquet,14231,14231
,NMSSM_X900_Y90.parquet,5045,5045
,NMSSM_X900_Y95.parquet,1494,1494
,2023_Data_EraD_NOTAG_merged.parquet,124646,124646
,2023_postBPix_GGJets_MGG-40to80.parquet,223945,223945
,2023_postBPix_GGJets_MGG-80.parquet,1090915,1090915
,2023_postBPix_GJetPt20To40.parquet,7244,7244
,2023_postBPix_GJetPt40.parquet,18510,18510
,2023_postBPix_GluGluHtoGG.parquet,82450,82450
,2023_postBPix_NMSSM_X500_Y150.parquet,12904,12904
,2023_postBPix_QCDPt30To40.parquet,22,22
,2023_postBPix_QCDPt40ToInf.parquet,304,304
,2023_postBPix_TTGG.parquet,65226,65226
,2023_postBPix_TTG_100to200.parquet,553,553
,2023_postBPix_TTG_200.parquet,1938,1938
,2023_postBPix_VBFHToGG.parquet,62275,62275
,2023_postBPix_VHToGG.parquet,40685,40685
,2023_postBPix_ttHtoGG.parquet,71661,71661
,DDQCDGJET_Rescaled.parquet,30054,30054
,NMSSM_X1000_Y100.parquet,17127,17127
,NMSSM_X1000_Y125.parquet,3064,3064
,NMSSM_X1000_Y150.parquet,6131,6131
,NMSSM_X1000_Y200.parquet,16915,16915
,NMSSM_X1000_Y300.parquet,16910,16910
,NMSSM_X1000_Y400.parquet,16463,16463
,NMSSM_X1000_Y500.parquet,15942,15942
,NMSSM_X1000_Y800.parquet,12352,12352
,NMSSM_X1000_Y90.parquet,17090,17090
,NMSSM_X1000_Y95.parquet,3074,3074
,NMSSM_X300_Y100.parquet,926,926
,NMSSM_X300_Y125.parquet,9761,9761
,NMSSM_X300_Y150.parquet,5152,5152
,NMSSM_X300_Y90.parquet,3698,3698
,NMSSM_X300_Y95.parquet,3715,3715
,NMSSM_X400_Y100.parquet,11299,11299
,NMSSM_X400_Y125.parquet,11314,11314
,NMSSM_X400_Y150.parquet,11507,11507
,NMSSM_X400_Y200.parquet,9110,9110
,NMSSM_X400_Y90.parquet,2053,2053
,NMSSM_X400_Y95.parquet,5191,5191
,NMSSM_X500_Y100.parquet,4734,4734
,NMSSM_X500_Y125.parquet,2343,2343
,NMSSM_X500_Y150.parquet,12904,12904
,NMSSM_X500_Y200.parquet,2273,2273
,NMSSM_X500_Y300.parquet,5419,5419
,NMSSM_X500_Y90.parquet,363,363
,NMSSM_X500_Y95.parquet,12938,12938
,NMSSM_X550_Y100.parquet,2110,2110
,NMSSM_X550_Y125.parquet,4919,4919
,NMSSM_X550_Y200.parquet,2451,2451
,NMSSM_X550_Y300.parquet,5763,5763
,NMSSM_X550_Y400.parquet,2145,2145
,NMSSM_X550_Y95.parquet,2470,2470
,NMSSM_X600_Y100.parquet,12873,12873
,NMSSM_X600_Y125.parquet,427,427
,NMSSM_X600_Y150.parquet,1286,1286
,NMSSM_X600_Y200.parquet,13989,13989
,NMSSM_X600_Y300.parquet,13413,13413
,NMSSM_X600_Y400.parquet,12048,12048
,NMSSM_X600_Y90.parquet,9183,9183
,NMSSM_X600_Y95.parquet,5170,5170
,NMSSM_X650_Y100.parquet,8144,8144
,NMSSM_X650_Y125.parquet,9452,9452
,NMSSM_X650_Y200.parquet,5405,5405
,NMSSM_X650_Y300.parquet,7553,7553
,NMSSM_X650_Y400.parquet,2353,2353
,NMSSM_X650_Y500.parquet,2172,2172
,NMSSM_X650_Y90.parquet,8104,8104
,NMSSM_X650_Y95.parquet,2726,2726
,NMSSM_X700_Y100.parquet,6862,6862
,NMSSM_X700_Y150.parquet,1402,1402
,NMSSM_X700_Y400.parquet,1199,1199
